peris, apos, t_min_relative, r_relative, theta 
23.057275 109.320659 -2.983000 33.794682 20.302473 
28.704185 104.873196 -3.142000 42.824578 31.856778 
19.369865 99.978499 -2.998000 28.176175 15.955592 
19.339423 102.065539 -2.436000 84.584484 39.386613 
27.012460 105.221153 -2.871000 8.193714 28.874821 
25.774526 102.614640 -0.435000 79.469998 39.490579 
27.099624 98.401568 -0.405000 75.356621 32.629923 
16.075000 102.612274 -2.981000 27.524610 20.697040 
30.365225 99.247661 -3.289000 35.722922 25.948463 
29.052308 101.615399 -1.279000 19.050848 27.421271 
19.449807 105.598120 -2.111000 61.607672 16.642593 
23.117003 95.297488 -3.999000 71.894119 34.563876 
24.317542 90.523485 -2.346000 9.142254 25.967296 
26.983197 97.301362 -0.359000 81.796166 22.922770 
30.075266 104.894866 -3.097000 24.909092 42.003070 
32.899231 112.172175 -1.345000 22.021607 12.233864 
18.926771 95.207638 -3.909000 28.181372 47.266932 
33.039447 102.438753 -3.150000 16.727079 13.838922 
25.057743 101.002774 -2.952000 29.678644 23.979417 
17.878248 108.691328 -3.218000 28.671484 14.059560 
17.916736 104.004521 -3.101000 34.971497 27.113030 
19.739315 101.805462 -2.928000 38.732122 29.230833 
28.362733 105.829909 -0.485000 73.891250 44.424393 
23.268212 103.452921 -0.469000 74.805936 37.815469 
22.318109 88.826555 -3.931000 68.219800 22.993258 
17.385894 89.779218 -3.575000 7.260415 15.630634 
25.449891 102.257234 -0.459000 73.136360 31.547505 
33.499478 96.819608 -0.341000 84.766053 48.520621 
12.891402 103.723309 -2.974000 32.997292 21.945746 
13.566933 99.440929 -2.333000 21.280368 35.701304 
27.761005 100.647512 -0.323000 91.254724 32.155428 
22.747897 102.768175 -1.983000 68.628477 21.323337 
13.576869 96.432342 -0.953000 4.873911 58.612165 
34.439193 99.423797 -2.764000 37.091906 39.088245 
24.854942 108.359336 -1.253000 17.729607 34.498156 
28.471392 98.503734 -1.251000 35.924135 61.158385 
16.952119 107.637117 -2.742000 1.527508 42.063361 
13.333296 100.619636 -3.999000 64.224801 22.745171 
27.064093 97.186721 -3.073000 53.689662 50.432959 
48.691381 102.151326 -1.581000 27.745668 28.532947 
32.246348 104.848825 -3.431000 80.371272 22.388720 
19.891735 105.497094 -3.076000 35.918660 25.918373 
29.238414 95.354719 -3.914000 32.431079 24.074873 
32.089991 94.426155 -2.601000 12.759982 40.389759 
