peris, apos, t_min_relative, r_relative, theta 
23.057275 109.320659 -0.047000 48.116734 44.167445 
22.512170 98.716623 -0.048000 48.099807 68.450096 
17.499919 102.526027 -0.047000 48.120892 40.655292 
35.541479 103.127345 -0.047000 48.121483 42.869143 
39.578692 100.667270 -0.047000 48.112776 46.823506 
28.899359 108.170806 -0.047000 48.119755 49.544417 
27.049861 101.105025 -0.048000 48.100763 27.581313 
19.104674 94.272108 -0.048000 48.110752 55.721910 
18.693373 104.762236 -0.047000 48.123448 60.118237 
25.393201 98.636620 -0.048000 48.100818 67.866832 
29.566970 104.206342 -0.048000 48.110422 49.253672 
17.116940 103.612042 -0.047000 48.113737 42.417693 
26.631939 100.839288 -0.048000 48.110751 40.816938 
30.101848 105.350954 -0.047000 48.121952 26.550479 
27.334017 105.363937 -0.047000 48.113078 20.919648 
20.548581 103.756947 -0.047000 48.116926 80.392246 
23.399123 97.148749 -0.047000 48.113249 62.374633 
29.174235 101.355566 -0.047000 48.118413 47.571561 
21.539268 100.740732 -0.047000 48.121267 60.817277 
30.441181 100.213749 -0.047000 48.112115 47.638161 
26.643950 100.458302 -0.048000 48.111031 50.269344 
21.286230 84.369177 -0.048000 48.097290 65.941803 
29.864538 102.308346 -0.047000 48.112363 72.015679 
27.986450 108.077931 -0.047000 48.118009 50.063163 
28.685749 90.716801 -0.048000 48.110603 55.621305 
21.081279 108.421292 -0.047000 48.114703 86.582419 
18.645691 110.235639 -0.047000 48.114078 41.662159 
22.514164 99.931965 -0.048000 48.106662 62.236669 
21.085142 99.526332 -0.047000 48.118253 60.015428 
24.069039 89.954403 -0.048000 48.102215 71.510384 
18.738609 101.951227 -0.048000 48.108817 42.467488 
29.276764 102.921788 -0.046000 48.124640 58.741143 
33.515355 87.096482 -0.048000 48.094596 65.238455 
18.393005 89.239349 -0.047000 48.117546 54.589169 
33.167489 97.578078 -0.047000 48.121229 57.170431 
34.710733 101.396837 -0.047000 48.115229 35.325893 
26.317075 102.870046 -0.047000 48.112835 58.136343 
32.232542 104.306281 -0.047000 48.118894 64.679846 
46.250575 99.936115 -0.047000 48.118850 40.513641 
21.445542 106.613557 -0.047000 48.114978 74.530875 
40.287386 98.404571 -0.047000 48.121153 29.969995 
15.195975 104.331111 -0.048000 48.111298 57.226907 
31.223521 107.039831 -0.048000 48.108761 31.315790 
34.649917 100.866115 -0.047000 48.116616 61.749679 
25.852068 106.340626 -0.047000 48.113755 30.967541 
19.772815 100.871954 -0.048000 48.109233 70.555737 
29.453564 95.424239 -0.046000 48.125691 51.852040 
22.992473 97.101363 -0.047000 48.119619 31.928925 
24.788847 108.234098 -0.048000 48.109907 55.252978 
19.392384 103.640441 -0.048000 48.110928 11.841648 
14.006665 88.864439 -0.048000 48.080886 77.099080 
28.796715 93.060483 -0.047000 48.122483 62.249119 
38.009373 107.092930 -0.047000 48.117302 48.949239 
17.711562 108.762290 -0.048000 48.110754 97.544159 
26.179351 102.587191 -0.047000 48.114418 57.718774 
16.708636 101.773001 -0.047000 48.123658 65.544313 
24.458236 105.609862 -0.047000 48.111542 52.464873 
28.192984 94.631833 -0.047000 48.123246 56.316794 
17.554138 91.364921 -0.048000 48.095826 61.625301 
25.402829 101.459409 -0.048000 48.110836 74.584848 
17.194685 94.543412 -0.048000 48.079662 73.550560 
21.005373 94.030667 -0.048000 48.108982 63.113466 
32.662932 103.513194 -0.048000 48.106738 39.624747 
17.871129 102.047249 -0.048000 48.107667 65.689903 
30.427565 101.353962 -0.048000 48.104717 28.599145 
34.053032 100.871983 -0.048000 48.110399 41.708657 
31.162351 104.361527 -0.048000 48.109727 44.907174 
27.395597 108.849515 -0.047000 48.118372 37.694474 
24.215579 103.635142 -0.047000 48.111999 64.678171 
30.425105 99.819930 -0.047000 48.118547 45.620149 
16.562547 101.725145 -0.047000 48.120193 49.002538 
24.440182 92.244137 -0.046000 48.124965 31.868763 
14.767949 111.385766 -0.047000 48.116846 83.068462 
27.182064 96.439380 -0.047000 48.118522 60.255880 
30.509154 98.487290 -0.047000 48.113429 69.625154 
21.070301 105.055318 -0.048000 48.105274 52.386874 
23.595851 95.571800 -0.047000 48.117904 39.752493 
21.792573 95.414726 -0.048000 48.093300 68.688246 
24.039193 98.089158 -0.047000 48.121975 51.372345 
27.275033 95.400797 -0.048000 48.099167 57.367296 
26.060575 101.387167 -0.048000 48.109775 63.313985 
22.917458 101.877279 -0.048000 48.102900 51.845796 
30.924225 100.109220 -0.047000 48.116233 61.826888 
26.195400 103.479511 -0.047000 48.113388 26.420605 
28.577736 108.335145 -0.047000 48.112578 40.523984 
29.055968 95.583743 -0.046000 48.126128 38.359845 
28.513173 101.214818 -0.047000 48.114245 51.977158 
25.771017 95.818518 -0.047000 48.119377 59.627370 
21.481630 106.137651 -0.047000 48.112563 61.772617 
25.036353 91.712252 -0.048000 48.095891 59.217086 
14.875087 94.509892 -0.048000 48.094217 91.907369 
21.213562 99.866330 -0.048000 48.104530 39.492894 
22.981572 105.936564 -0.047000 48.114590 63.294180 
28.326519 100.966116 -0.048000 48.109158 69.246423 
22.821759 95.596115 -0.047000 48.121612 48.829687 
24.570557 103.309030 -0.047000 48.113313 41.193678 
21.011642 90.990078 -0.047000 48.124173 22.426799 
17.848511 102.550594 -0.047000 48.118989 59.633708 
34.564738 95.974374 -0.047000 48.119428 63.168304 
12.219453 104.221723 -0.048000 48.109712 70.392013 
20.712645 92.806840 -0.047000 48.115416 77.283770 
26.153486 95.541919 -0.048000 48.107909 53.616595 
28.646668 95.246530 -0.048000 48.105655 48.950612 
23.670212 92.768369 -0.048000 48.100526 61.919871 
52.104112 108.727481 -0.047000 48.122205 40.488775 
16.053537 101.386787 -0.047000 48.120668 74.320663 
28.605244 94.461027 -0.048000 48.096101 66.379683 
25.180404 97.350857 -0.048000 48.104573 20.017792 
24.992412 102.455182 -0.047000 48.113039 63.141488 
41.698298 99.370693 -0.048000 48.105405 30.323652 
20.882915 110.000200 -0.047000 48.118167 67.068068 
19.449807 105.598120 -0.047000 48.115495 38.634966 
21.217849 96.083517 -0.048000 48.095994 42.541335 
40.051637 102.700663 -0.048000 48.109026 60.636332 
26.177866 90.800561 -0.048000 48.081039 91.337193 
17.067030 98.104964 -0.047000 48.117655 78.118856 
8.345983 105.314796 -0.048000 48.082151 103.066970 
35.833661 100.181414 -0.047000 48.113208 58.592893 
23.603289 101.583318 -0.047000 48.113180 18.693897 
