peris, apos, t_min_relative, r_relative, theta 
12.920331 101.107280 -0.495000 61.453132 44.167445 
12.157402 94.615402 -0.751000 22.688614 68.450096 
9.603597 101.004284 -2.919000 70.458591 40.655292 
23.742320 100.594868 -0.433000 75.031103 42.869143 
28.250050 99.053011 -0.419000 71.228721 46.823506 
18.675476 99.911800 -0.459000 65.763649 49.544417 
15.776188 103.897430 -2.919000 26.581599 27.581313 
6.954027 85.751013 -0.705000 12.882314 55.721910 
11.090451 100.172109 -2.276000 62.915869 60.118237 
18.632353 105.800381 -2.478000 6.426045 67.866832 
21.117487 104.586602 -2.865000 51.598774 49.253672 
8.388986 103.089043 -3.940000 27.731474 42.417693 
17.308648 102.628708 -2.724000 36.849440 40.816938 
17.787471 98.550121 -3.999000 67.598486 26.550479 
14.987229 109.511712 -2.997000 17.525005 20.919648 
15.176864 99.977412 -0.455000 68.411203 80.392246 
18.068847 103.022087 -2.410000 13.991545 62.374633 
18.787485 97.891252 -2.508000 53.413556 47.571561 
14.152911 96.943121 -2.298000 62.907238 60.817277 
21.919939 108.639035 -2.590000 17.032750 47.638161 
18.835400 102.849202 -2.446000 32.835593 50.269344 
17.930434 93.831271 -3.836000 17.976718 65.941803 
23.301198 98.385151 -0.479000 58.467494 72.015679 
17.303641 101.477981 -0.455000 72.245141 50.063163 
22.076619 90.803255 -3.870000 20.343461 55.621305 
15.716525 101.016825 -0.533000 49.886833 86.582419 
8.422009 104.484427 -2.275000 59.710152 41.662159 
15.281951 97.236920 -2.455000 2.056620 62.236669 
15.320602 99.397829 -3.161000 74.388792 60.015428 
15.794079 73.357640 -0.933000 9.515414 71.510384 
9.004138 100.485669 -0.633000 28.426690 42.467488 
21.347421 97.459503 -0.421000 71.479790 58.741143 
27.296704 99.625744 -2.532000 14.208001 65.238455 
11.399300 86.533384 -2.150000 34.330923 54.589169 
26.534600 93.291385 -2.725000 26.505117 57.170431 
21.379893 98.891373 -2.540000 66.032718 35.325893 
17.375131 95.655468 -0.447000 63.659424 58.136343 
23.966093 97.620513 -0.425000 72.023468 64.679846 
31.561838 97.442054 -0.325000 85.431595 40.513641 
14.849220 98.606737 -0.495000 54.373831 74.530875 
27.327648 96.089136 -2.658000 36.217552 29.969995 
7.232478 103.124779 -3.999000 23.571980 57.226907 
19.661218 106.291737 -0.527000 66.898236 31.315790 
24.613366 98.077412 -2.420000 79.986925 61.749679 
14.180278 100.738188 -0.485000 62.960505 30.967541 
13.841935 99.263909 -2.396000 29.890529 70.555737 
21.765576 91.884612 -2.442000 46.384396 51.852040 
15.065346 98.949961 -3.480000 68.684537 31.928925 
15.019265 101.069951 -0.493000 61.437249 55.252978 
24.662307 95.242161 -2.181000 1.675986 11.841648 
10.097063 97.598946 -0.864000 23.166460 77.099080 
24.596731 95.189301 -0.269000 91.987732 62.249119 
28.804880 105.118657 -0.455000 73.407312 48.949239 
14.142898 100.872865 -0.533000 45.572431 97.544159 
17.298005 98.109671 -3.999000 68.596758 57.718774 
12.278259 99.694907 -2.917000 70.734197 65.544313 
15.104395 103.618325 -0.521000 57.142304 52.464873 
23.076197 97.937880 -0.271000 95.381376 56.316794 
12.775037 104.283208 -0.908000 18.686865 61.625301 
21.336950 104.712653 -2.564000 15.622304 74.584848 
14.655420 93.546884 -3.626000 12.998716 73.550560 
15.168378 104.913458 -2.274000 8.489481 63.113466 
21.181736 102.526703 -0.485000 68.866078 39.624747 
8.988886 98.437663 -0.659000 23.055737 65.689903 
9.245353 57.221032 -1.019000 7.243873 28.599145 
24.174751 106.746094 -2.722000 9.244916 41.708657 
21.070583 103.211015 -0.489000 66.356139 44.907174 
16.605268 107.385535 -0.537000 64.232777 37.694474 
